"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","inactive",455,700,605,350,623,727,486,330
"2","G0001","G0001_02","inactive",1112,889,952,1105,1267,786,1058,1044
"3","G0001","G0001_03","inactive",202,295,167,403,231,198,138,462
"4","G0001","G0001_04","inactive",274,353,372,613,426,314,391,495
"5","G0001","G0001_05","inactive",622,314,457,494,750,338,445,508
"6","G0001","G0001_06","inactive",308,283,288,381,377,233,406,352
"7","G0001","G0001_07","inactive",799,651,778,765,839,717,719,917
"8","G0001","G0001_08","inactive",579,822,477,848,813,683,582,771
"9","G0001","G0001_09","inactive",523,795,544,442,630,776,582,406
"10","G0001","G0001_10","inactive",100,217,115,159,50,201,110,148
"11","G0002","G0002_01","inactive",180,261,423,590,224,178,303,326
"12","G0002","G0002_02","inactive",160,350,273,357,205,426,204,308
"13","G0002","G0002_03","inactive",476,696,342,628,412,561,414,515
"14","G0002","G0002_04","inactive",371,371,668,834,350,401,547,795
"15","G0002","G0002_05","inactive",447,428,360,691,547,355,445,575
"16","G0002","G0002_06","inactive",1296,1176,898,826,1458,996,945,903
"17","G0002","G0002_07","inactive",811,533,534,657,755,652,486,785
"18","G0002","G0002_08","inactive",323,125,217,85,363,165,218,81
"19","G0002","G0002_09","inactive",657,767,482,627,642,760,420,582
"20","G0002","G0002_10","inactive",428,625,294,608,533,666,375,496
"21","G0003","G0003_01","inactive",192,286,234,246,267,305,182,242
"22","G0003","G0003_02","inactive",409,736,672,873,580,655,817,908
"23","G0003","G0003_03","inactive",293,341,402,290,359,436,429,146
"24","G0003","G0003_04","inactive",470,635,426,387,494,683,467,411
"25","G0003","G0003_05","inactive",343,375,406,647,408,437,316,590
"26","G0003","G0003_06","inactive",671,643,484,493,581,647,455,529
"27","G0003","G0003_07","inactive",257,368,253,450,292,408,257,517
"28","G0003","G0003_08","inactive",537,382,437,571,516,418,561,559
"29","G0003","G0003_09","inactive",271,285,176,238,284,203,200,172
"30","G0003","G0003_10","inactive",290,251,368,316,229,295,461,260
"31","G0004","G0004_01","inactive",101,0,207,109,76,0,221,141
"32","G0004","G0004_02","inactive",1024,978,980,1523,1132,974,934,1082
"33","G0004","G0004_03","inactive",136,271,232,135,219,225,209,129
"34","G0004","G0004_04","inactive",622,790,644,577,765,752,830,526
"35","G0004","G0004_05","inactive",57,129,121,277,120,191,125,271
"36","G0004","G0004_06","inactive",202,236,118,462,245,185,128,412
"37","G0004","G0004_07","inactive",95,140,132,169,69,112,93,93
"38","G0004","G0004_08","inactive",580,461,500,313,481,352,519,330
"39","G0004","G0004_09","inactive",310,116,227,107,338,126,142,136
"40","G0004","G0004_10","inactive",576,381,544,441,563,430,387,470
"41","G0005","G0005_01","inactive",603,478,449,526,639,432,547,471
"42","G0005","G0005_02","inactive",1332,1671,1579,1134,1358,1355,1509,1052
"43","G0005","G0005_03","inactive",332,475,496,333,322,369,545,441
"44","G0005","G0005_04","inactive",162,195,343,251,138,159,330,266
"45","G0005","G0005_05","inactive",905,500,714,959,864,632,737,746
"46","G0005","G0005_06","inactive",440,788,721,903,639,762,746,853
"47","G0005","G0005_07","inactive",486,396,431,232,450,506,514,257
"48","G0005","G0005_08","inactive",456,576,434,421,559,733,363,347
"49","G0005","G0005_09","inactive",359,256,459,351,345,255,378,228
"50","G0005","G0005_10","inactive",277,318,115,193,314,284,97,116
"51","G0006","G0006_01","inactive",657,308,319,506,558,295,349,500
"52","G0006","G0006_02","inactive",1934,1436,1318,1832,1983,1405,1417,1832
"53","G0006","G0006_03","inactive",87,119,120,80,130,85,154,131
"54","G0006","G0006_04","inactive",1572,2121,1656,2020,1816,2062,1930,1830
"55","G0006","G0006_05","inactive",974,965,939,1201,1357,921,1041,1057
"56","G0006","G0006_06","inactive",211,165,67,294,302,156,92,270
"57","G0006","G0006_07","inactive",229,360,288,329,233,288,297,309
"58","G0006","G0006_08","inactive",155,247,240,78,198,248,385,77
"59","G0006","G0006_09","inactive",328,545,516,725,361,439,560,619
"60","G0006","G0006_10","inactive",425,251,231,212,575,320,245,248
"61","G0007","G0007_01","inactive",293,438,353,568,226,338,422,679
"62","G0007","G0007_02","inactive",329,120,107,136,380,101,87,109
"63","G0007","G0007_03","inactive",184,348,176,168,240,323,227,179
"64","G0007","G0007_04","inactive",129,199,170,219,126,180,193,222
"65","G0007","G0007_05","inactive",728,691,858,566,736,605,857,598
"66","G0007","G0007_06","inactive",553,416,388,392,675,326,459,292
"67","G0007","G0007_07","inactive",803,559,761,862,853,550,642,833
"68","G0007","G0007_08","inactive",621,853,506,712,731,943,515,453
"69","G0007","G0007_09","inactive",596,713,696,500,659,899,651,448
"70","G0007","G0007_10","inactive",234,120,119,181,274,98,152,159
"71","G0008","G0008_01","inactive",567,770,953,635,618,752,969,673
"72","G0008","G0008_02","inactive",418,413,388,479,419,570,421,488
"73","G0008","G0008_03","inactive",534,509,398,497,519,557,517,482
"74","G0008","G0008_04","inactive",620,548,663,1082,673,466,668,1020
"75","G0008","G0008_05","inactive",282,421,464,317,354,327,497,267
"76","G0008","G0008_06","inactive",491,458,246,534,606,485,218,410
"77","G0008","G0008_07","inactive",170,268,303,137,178,338,255,148
"78","G0008","G0008_08","inactive",954,1189,921,773,973,1110,907,830
