"","gene","sgRNA","class","L1","L2","L3","L4","H1","H2","H3","H4"
"1","G0001","G0001_01","negcontrol",62,55,40,38,58,60,46,32
"2","G0001","G0001_02","negcontrol",105,41,69,66,90,65,52,64
"3","G0001","G0001_03","negcontrol",81,75,122,103,115,79,123,127
"4","G0001","G0001_04","negcontrol",334,253,267,223,324,276,250,230
"5","G0001","G0001_05","negcontrol",179,161,124,156,154,179,128,168
"6","G0001","G0001_06","negcontrol",77,70,102,89,90,75,95,119
"7","G0001","G0001_07","negcontrol",83,46,120,121,98,45,137,132
"8","G0001","G0001_08","negcontrol",85,32,37,87,56,26,30,95
"9","G0001","G0001_09","negcontrol",82,48,88,73,63,73,49,77
"10","G0001","G0001_10","negcontrol",84,90,79,68,74,89,71,71
"11","G0002","G0002_01","inactive",60,69,79,92,43,72,75,107
"12","G0002","G0002_02","inactive",119,147,178,129,127,171,169,147
"13","G0002","G0002_03","inactive",36,13,36,36,38,18,31,43
"14","G0002","G0002_04","inactive",91,39,68,38,79,43,66,38
"15","G0002","G0002_05","inactive",28,25,20,11,42,24,13,33
"16","G0002","G0002_06","inactive",53,20,58,49,42,17,45,67
"17","G0002","G0002_07","inactive",303,179,204,250,263,198,198,328
"18","G0002","G0002_08","inactive",211,176,175,161,187,223,164,193
"19","G0002","G0002_09","inactive",78,37,93,58,72,68,77,46
"20","G0002","G0002_10","inactive",144,137,174,161,107,167,149,137
"21","G0003","G0003_01","inactive",14,31,30,96,16,31,11,79
"22","G0003","G0003_02","inactive",88,70,79,94,97,79,71,112
"23","G0003","G0003_03","inactive",392,283,304,415,371,315,290,414
"24","G0003","G0003_04","inactive",78,66,45,34,51,76,49,45
"25","G0003","G0003_05","inactive",31,37,30,18,21,39,22,40
"26","G0003","G0003_06","inactive",84,98,111,131,78,90,89,119
"27","G0003","G0003_07","inactive",127,100,95,142,128,116,77,138
"28","G0003","G0003_08","inactive",61,53,51,84,54,54,61,94
"29","G0003","G0003_09","inactive",239,252,290,258,239,305,266,276
"30","G0003","G0003_10","inactive",197,179,209,191,143,203,213,209
"31","G0004","G0004_01","inactive",50,59,57,48,49,69,43,44
"32","G0004","G0004_02","inactive",79,32,80,54,83,52,74,50
"33","G0004","G0004_03","inactive",36,20,7,0,31,15,3,0
"34","G0004","G0004_04","inactive",216,141,184,242,199,163,173,217
"35","G0004","G0004_05","inactive",120,94,62,119,110,94,52,128
"36","G0004","G0004_06","inactive",83,74,100,80,50,88,114,73
"37","G0004","G0004_07","inactive",91,124,67,66,70,148,103,84
"38","G0004","G0004_08","inactive",239,216,221,144,211,241,196,138
"39","G0004","G0004_09","inactive",19,33,45,45,31,55,56,44
"40","G0004","G0004_10","inactive",244,255,267,148,205,284,250,185
"41","G0005","G0005_01","inactive",39,49,58,57,31,32,44,52
"42","G0005","G0005_02","inactive",38,12,23,23,37,9,24,37
"43","G0005","G0005_03","inactive",81,45,93,89,74,59,68,108
"44","G0005","G0005_04","inactive",214,131,161,173,169,141,150,195
"45","G0005","G0005_05","inactive",47,15,44,33,32,9,28,41
"46","G0005","G0005_06","inactive",82,81,79,93,79,106,75,111
"47","G0005","G0005_07","inactive",89,94,106,89,76,108,88,105
"48","G0005","G0005_08","inactive",92,74,75,43,91,98,80,57
"49","G0005","G0005_09","inactive",87,86,103,69,86,89,102,75
"50","G0005","G0005_10","inactive",157,106,134,136,142,114,120,167
"51","G0006","G0006_01","inactive",38,56,38,35,36,67,35,38
"52","G0006","G0006_02","inactive",164,71,145,117,144,78,137,129
"53","G0006","G0006_03","inactive",64,116,82,91,51,106,61,81
"54","G0006","G0006_04","inactive",43,55,34,37,52,85,44,37
"55","G0006","G0006_05","inactive",76,121,102,143,72,127,103,152
"56","G0006","G0006_06","inactive",16,51,31,33,16,42,30,32
"57","G0006","G0006_07","inactive",82,59,84,69,86,88,82,60
"58","G0006","G0006_08","inactive",111,99,158,84,89,100,136,85
"59","G0006","G0006_09","inactive",98,94,105,65,98,106,131,68
"60","G0006","G0006_10","inactive",224,164,157,165,202,170,129,160
"61","G0007","G0007_01","inactive",34,50,54,50,39,63,63,42
"62","G0007","G0007_02","inactive",35,50,80,53,41,51,56,77
"63","G0007","G0007_03","inactive",151,112,105,117,112,130,80,124
"64","G0007","G0007_04","inactive",123,119,183,104,94,123,158,108
"65","G0007","G0007_05","inactive",34,61,61,46,21,70,62,57
"66","G0007","G0007_06","inactive",74,116,102,96,68,173,77,96
"67","G0007","G0007_07","inactive",48,85,82,84,43,83,58,60
"68","G0007","G0007_08","inactive",116,82,58,68,110,75,78,75
"69","G0007","G0007_09","inactive",85,110,91,76,60,167,74,79
"70","G0007","G0007_10","inactive",58,22,52,63,49,36,68,98
"71","G0008","G0008_01","inactive",68,56,33,30,60,69,25,33
"72","G0008","G0008_02","inactive",90,52,91,68,79,54,78,57
"73","G0008","G0008_03","inactive",165,145,122,153,122,160,129,139
"74","G0008","G0008_04","inactive",339,185,251,305,294,197,205,316
"75","G0008","G0008_05","inactive",41,14,24,41,39,23,22,51
"76","G0008","G0008_06","inactive",25,10,19,11,17,5,14,9
"77","G0008","G0008_07","inactive",110,100,104,98,98,86,86,108
"78","G0008","G0008_08","inactive",152,160,167,152,135,176,152,171
"79","G0008","G0008_09","inactive",243,139,175,244,224,180,172,227
"80","G0008","G0008_10","inactive",39,18,11,24,28,13,14,40
"81","G0009","G0009_01","inactive",12,49,21,54,18,45,31,57
"82","G0009","G0009_02","inactive",48,82,55,70,31,86,56,51
"83","G0009","G0009_03","inactive",90,50,89,100,110,75,92,99
"84","G0009","G0009_04","inactive",407,271,255,289,367,328,282,311
"85","G0009","G0009_05","inactive",10,10,7,21,6,7,10,21
"86","G0009","G0009_06","inactive",70,50,90,55,68,64,92,56
"87","G0009","G0009_07","inactive",74,54,66,92,73,49,48,71
"88","G0009","G0009_08","inactive",109,108,70,120,94,142,65,90
"89","G0009","G0009_09","inactive",87,67,166,89,74,91,150,105
"90","G0009","G0009_10","inactive",156,120,64,58,105,149,63,79
"91","G0010","G0010_01","inactive",48,16,33,22,47,26,34,22
"92","G0010","G0010_02","inactive",15,98,71,36,16,90,54,47
"93","G0010","G0010_03","inactive",111,86,89,68,94,96,81,89
"94","G0010","G0010_04","inactive",24,28,36,26,20,42,23,22
"95","G0010","G0010_05","inactive",72,35,56,50,85,46,37,50
"96","G0010","G0010_06","inactive",96,82,82,71,74,104,82,93
"97","G0010","G0010_07","inactive",215,146,108,112,186,134,58,104
"98","G0010","G0010_08","inactive",37,21,25,56,39,28,31,37
"99","G0010","G0010_09","inactive",86,161,74,87,107,164,79,105
"100","G0010","G0010_10","inactive",116,116,102,72,100,132,97,79
"101","G0011","G0011_01","inactive",83,112,116,138,103,161,122,137
"102","G0011","G0011_02","inactive",14,27,39,36,6,46,26,37
"103","G0011","G0011_03","inactive",15,15,28,5,15,15,15,4
"104","G0011","G0011_04","inactive",221,113,180,127,215,116,183,124
"105","G0011","G0011_05","inactive",215,145,193,174,190,180,187,174
"106","G0011","G0011_06","inactive",56,55,54,43,41,72,46,34
"107","G0011","G0011_07","inactive",56,41,56,40,62,52,41,51
"108","G0011","G0011_08","inactive",79,107,71,103,79,132,83,142
